source,target,weight
69825516c835c41957dfd2c5,69825517c835c41957e0086b,1.3333333333333333
69825516c835c41957dfd2c5,69825517c835c41957dffd68,0.5333333333333333
69825516c835c41957dfd2c5,69825516c835c41957dfb7aa,0.3333333333333333
69825516c835c41957dfd2c5,69825517c835c41957e00222,0.2
69825516c835c41957dfd2c5,69825516c835c41957dfa965,0.2
69825516c835c41957dfd2c5,69825516c835c41957dfb443,0.2
69825516c835c41957dfd2c5,69825517c835c41957e00980,0.2
69825517c835c41957dff7f8,69825517c835c41957dffa33,0.5
69825517c835c41957dff7f8,69825516c835c41957dff21b,0.45
69825517c835c41957dff7f8,69825517c835c41957dffc6e,3.0833333333333335
69825517c835c41957dff7f8,69825516c835c41957dfc2e0,0.2
69825517c835c41957dff7f8,69825517c835c41957e00841,2.25
69825517c835c41957dff7f8,69825516c835c41957dfd253,0.45
69825517c835c41957dff7f8,69825516c835c41957dfe803,2.25
69825517c835c41957dff7f8,69825517c835c41957dff59e,0.5
69825517c835c41957dff7f8,69825517c835c41957e009fc,1.45
69825517c835c41957dff7f8,69825517c835c41957e00e87,0.45
69825517c835c41957dff7f8,69825516c835c41957dfcd3b,0.41666666666666663
69825516c835c41957dfe0c7,69825516c835c41957dfa4e0,0.2
69825516c835c41957dfe0c7,69825516c835c41957dfe0c8,0.45
69825516c835c41957dfe0c7,69825516c835c41957dfe0c6,0.45
69825516c835c41957dfe0c7,69825517c835c41957e00540,0.45
69825516c835c41957dfe0c7,69825516c835c41957dfe0c5,0.45
69825516c835c41957dfbbf5,69825516c835c41957dfbc09,0.05
69825516c835c41957dfbbf5,69825516c835c41957dfbbea,0.05
69825516c835c41957dfbbf5,69825516c835c41957dfbbe4,0.05
69825516c835c41957dfbbf5,69825516c835c41957dfbbba,0.05
69825516c835c41957dfbbf5,69825516c835c41957dfbc0f,0.05
69825516c835c41957dfbbf5,69825516c835c41957dfbbb8,0.05
69825516c835c41957dfbbf5,69825516c835c41957dfbbb7,0.05
69825516c835c41957dfbbf5,69825516c835c41957dfbc10,0.05
69825516c835c41957dfbbf5,69825516c835c41957dfbc20,0.05
69825516c835c41957dfbbf5,69825516c835c41957dfbbb2,0.05
69825516c835c41957dfbbf5,69825516c835c41957dfbbf8,0.05
69825516c835c41957dfbbf5,69825516c835c41957dfbbd4,0.05
69825516c835c41957dfbbf5,69825516c835c41957dfbbb9,0.05
69825516c835c41957dfbbf5,69825516c835c41957dfbc2c,0.05
69825516c835c41957dfbbf5,69825516c835c41957dfbbfd,0.05
69825516c835c41957dfbbf5,69825516c835c41957dfbc0e,0.05
69825516c835c41957dfbbf5,69825516c835c41957dfbc27,0.05
69825516c835c41957dfbbf5,69825516c835c41957dfbc23,0.05
69825516c835c41957dfbbf5,69825516c835c41957dfbc1b,0.05
69825516c835c41957dfbbf5,69825516c835c41957dfbbc3,0.05
69825516c835c41957dfd0fc,69825516c835c41957dfe5e5,0.25
69825516c835c41957dfd0fc,69825517c835c41957e009b6,3.0
69825516c835c41957dfd0fc,69825517c835c41957e00a2c,0.1111111111111111
69825516c835c41957dfd0fc,69825517c835c41957e00648,0.3666666666666667
69825516c835c41957dfd0fc,69825516c835c41957dfc16e,0.16666666666666666
69825516c835c41957dfd0fc,69825516c835c41957dfe2af,0.1111111111111111
69825516c835c41957dfd0fc,69825517c835c41957e010f4,0.16666666666666666
69825516c835c41957dfd0fc,69825516c835c41957dfe795,2.6444444444444444
69825516c835c41957dfd0fc,69825516c835c41957dfb966,0.25
69825516c835c41957dfd0fc,69825516c835c41957dfa9e8,0.1111111111111111
69825516c835c41957dfd0fc,69825517c835c41957e019f9,0.75
69825516c835c41957dfd0fc,69825516c835c41957df9c99,1.6444444444444444
69825516c835c41957dfd0fc,69825517c835c41957e01a78,1.0
69825516c835c41957dfd0fc,69825516c835c41957dfa160,0.1111111111111111
69825516c835c41957dfd0fc,69825516c835c41957dfc519,1.2
69825516c835c41957dfd0fc,69825516c835c41957dfef50,0.25
69825516c835c41957dfd0fc,69825517c835c41957e012b0,0.1111111111111111
69825516c835c41957dfd0fc,69825517c835c41957e01139,0.1111111111111111
69825516c835c41957dfd0fc,69825516c835c41957dfed83,3.644444444444445
