id,language_name,year
69825516c835c41957df9d51,français,1997
69825516c835c41957df9e26,allemand,1988
69825516c835c41957dfa014,anglais,2005
69825516c835c41957dfa28a,suédois,2006
69825516c835c41957dfa29f,suédois,2005
69825516c835c41957dfa2cd,anglais,2004
69825516c835c41957dfa2d1,anglais,1998
69825516c835c41957dfa2d2,anglais,2000
69825516c835c41957dfa2fa,anglais,1999
69825516c835c41957dfa357,anglais,2006
69825516c835c41957dfa38e,anglais,2006
69825516c835c41957dfa3b3,anglais,1999
69825516c835c41957dfa3b7,anglais,1999
69825516c835c41957dfa3bd,anglais,1999
69825516c835c41957dfa3f7,anglais,2004
69825516c835c41957dfa3f8,anglais,2000
69825516c835c41957dfa408,anglais,1998
69825516c835c41957dfa428,anglais,2004
69825516c835c41957dfa429,anglais,2005
69825516c835c41957dfa42d,anglais,2002
69825516c835c41957dfa43d,anglais,2006
69825516c835c41957dfa44c,anglais,1999
69825516c835c41957dfa465,anglais,2002
69825516c835c41957dfa47c,anglais,2006
69825516c835c41957dfa48e,anglais,2003
69825516c835c41957dfa498,anglais,2001
69825516c835c41957dfa4ba,anglais,1999
69825516c835c41957dfa4bc,anglais,2005
69825516c835c41957dfa4c0,anglais,2006
69825516c835c41957dfa4c5,anglais,2005
69825516c835c41957dfa4dc,anglais,1997
69825516c835c41957dfa4e0,anglais,1997
69825516c835c41957dfa51e,anglais,1999
69825516c835c41957dfa522,anglais,2003
69825516c835c41957dfa526,anglais,1999
69825516c835c41957dfa52a,anglais,2004
69825516c835c41957dfa530,anglais,2002
69825516c835c41957dfa531,anglais,2001
69825516c835c41957dfa533,anglais,2000
69825516c835c41957dfa535,anglais,2006
69825516c835c41957dfa553,anglais,2005
69825516c835c41957dfa55b,anglais,2006
69825516c835c41957dfa568,anglais,2005
69825516c835c41957dfa56f,anglais,2006
69825516c835c41957dfa574,anglais,2005
69825516c835c41957dfa578,anglais,2002
69825516c835c41957dfa582,anglais,2002
69825516c835c41957dfa611,allemand,1977
69825516c835c41957dfa74e,hongrois,2005
69825516c835c41957dfa7e0,français,1976
69825516c835c41957dfa7e4,français,1997
69825516c835c41957dfa7f4,français,1997
69825516c835c41957dfa92c,anglais,1994
69825516c835c41957dfa9ec,anglais,2005
69825516c835c41957dfaa39,anglais,2006
69825516c835c41957dfaa63,anglais,1994
69825516c835c41957dfaa75,anglais,2006
69825516c835c41957dfaadb,anglais,2006
69825516c835c41957dfab41,anglais,1987
69825516c835c41957dfab97,italien,1979
69825516c835c41957dfab9b,anglais,2006
69825516c835c41957dfac87,français,1994
69825516c835c41957dfacae,français,1996
69825516c835c41957dfacc2,français,1987
69825516c835c41957dfacd2,français,2001
69825516c835c41957dfacd5,français,1996
69825516c835c41957dfacd8,français,1993
69825516c835c41957dfacda,français,1993
69825516c835c41957dface0,français,2006
69825516c835c41957dfad31,français,2000
69825516c835c41957dfad4a,français,1993
69825516c835c41957dfada6,français,2005
69825516c835c41957dfaded,français,1987
69825516c835c41957dfae1e,français,2005
69825516c835c41957dfae28,français,2005
69825516c835c41957dfb0f0,français,1997
69825516c835c41957dfb129,français,2006
69825516c835c41957dfb169,anglais,2004
69825516c835c41957dfb1c6,français,1986
69825516c835c41957dfb1cb,français,1989
69825516c835c41957dfb1cd,français,2000
69825516c835c41957dfb1ce,français,1991
69825516c835c41957dfb1d4,français,1996
69825516c835c41957dfb1dc,français,1991
69825516c835c41957dfb206,français,1989
69825516c835c41957dfb20d,français,2001
69825516c835c41957dfb237,français,1998
69825516c835c41957dfb258,français,1985
69825516c835c41957dfb287,français,1993
69825516c835c41957dfb2b9,français,1984
69825516c835c41957dfb2cf,français,1990
69825516c835c41957dfb30e,français,1996
69825516c835c41957dfb32c,français,2004
69825516c835c41957dfb344,français,1984
69825516c835c41957dfb35f,français,1985
69825516c835c41957dfb3a3,français,2002
69825516c835c41957dfb3c3,français,1990
69825516c835c41957dfb3c6,français,1996
69825516c835c41957dfb4b6,français,2004
69825516c835c41957dfb5bf,anglais,2006
69825516c835c41957dfb5cd,anglais,2002
69825516c835c41957dfb603,anglais,1996
69825516c835c41957dfb664,allemand,2002
69825516c835c41957dfb6b7,allemand,1996
69825516c835c41957dfb6c4,allemand,2004
69825516c835c41957dfb712,allemand,2005
69825516c835c41957dfb720,allemand,2004
69825516c835c41957dfb72a,anglais,2006
69825516c835c41957dfb72b,allemand,1994
69825516c835c41957dfb764,anglais,1992
69825516c835c41957dfb767,anglais,1995
69825516c835c41957dfb76b,anglais,1988
69825516c835c41957dfb76d,anglais,1993
69825516c835c41957dfb771,anglais,1989
69825516c835c41957dfb773,anglais,1999
69825516c835c41957dfb77a,anglais,2006
69825516c835c41957dfb77b,allemand,1997
